Name of Position,Name of Organisation,No. of Open Positions,Interest,Postal Code,Language Requirement,Age Range,Skills Requirement
Volunteer Nutrition,Women Empowerment League,1,Youth Development,311778,"['English', 'Hindi', 'Tamil']",19-39,"['Teaching', 'First-Aid']"
Volunteer Teaching,Women Empowerment League,3,Mental Health,436760,"['Bengali', 'Tamil', 'French']",22-38,"['Counseling', 'Fieldwork']"
Volunteer Marketing,Green Future Foundation,2,Mental Health,358215,"['Telugu', 'Hindi', 'Marathi']",21-49,"['Hardware Repair', 'Plumbing', 'Back-end Programming']"
Volunteer Advocacy,Green Future Foundation,2,Mental Health,775712,['Marathi'],24-31,"['Nursing', 'Marketing', 'Writing']"
Volunteer Accounting,Health First Initiative,1,Refugee Assistance,583857,"['English', 'Telugu', 'Bengali']",23-48,"['Cooking', 'Marketing', 'Software Development']"
Volunteer Graphic Design,Human Rights Watchers,3,Youth Development,605115,"['English', 'Bengali', 'French']",23-40,"['Fundraising', 'Counseling']"
Volunteer Lobbying,Animal Rescue Corps,3,Housing,739537,"['Marathi', 'English', 'Bengali']",26-59,['Accounting']
Volunteer Software Development,Child Care Movement,1,Animal Welfare,405546,['English'],23-33,"['Nursing', 'Computing']"
Volunteer Counseling,Human Rights Watchers,2,Sports and Recreation,891198,"['Marathi', 'Hindi', 'Telugu']",21-52,"['Hardware Repair', 'Translation', 'Lobbying']"
Volunteer Computing,Cultural Heritage Society,4,Women's Empowerment,556087,['English'],22-59,"['Graphic Design', 'Counseling', 'Software Development']"
Volunteer Computing,Disaster Aid Network,1,Disaster Relief,125413,"['Marathi', 'French', 'Telugu']",24-44,"['Web Programming', 'Babysitting', 'Nursing']"
Volunteer Lobbying,Child Care Movement,2,Arts and Culture,869290,"['Bengali', 'Tamil', 'Marathi']",20-40,"['Cooking', 'Advocacy']"
Volunteer Photography,Green Future Foundation,2,Health Initiatives,895990,"['Telugu', 'Hindi', 'Tamil']",18-46,"['Writing', 'Nutrition']"
Volunteer Software Development,Disaster Aid Network,5,Sports and Recreation,266155,['Hindi'],19-45,"['Babysitting', 'Photography']"
Volunteer First-Aid,Health First Initiative,1,Senior Citizen Support,262448,['English'],22-34,['Counseling']
Volunteer Accounting,Cultural Heritage Society,3,Sports and Recreation,222495,"['Marathi', 'French']",22-46,"['Web Programming', 'Lobbying']"
Volunteer Web Programming,Animal Rescue Corps,2,Sports and Recreation,359139,['Telugu'],27-31,"['Translation', 'Writing']"
Volunteer Writing,Animal Rescue Corps,5,Senior Citizen Support,371005,"['Telugu', 'Bengali', 'Tamil']",22-40,"['Translation', 'Fundraising']"
Volunteer Marketing,Disaster Aid Network,3,Refugee Assistance,390470,"['Hindi', 'Bengali', 'Tamil']",20-42,"['Writing', 'Fieldwork']"
Volunteer Driving,Education Bridge,5,Children's Education,174900,['Tamil'],23-49,"['Teaching', 'Babysitting']"
Volunteer Photography,Green Future Foundation,5,Mental Health,715608,['Marathi'],19-59,['Back-end Programming']
Volunteer Accounting,Health First Initiative,5,Refugee Assistance,410637,"['English', 'Tamil']",25-32,['Fundraising']
Volunteer Logistics,Women Empowerment League,1,Human Rights,168462,"['French', 'Bengali', 'Marathi']",25-51,['Photography']
